StateName,state,insurance,age,income,poverty,obses,smokes
Alabama,AL,20.5,39.3,49861,16.8,35.6,20
Alaska,AK,13.4,34.9,74346,10.9,29.8,18.7
Arizona,AZ,19.2,38,59246,14,28.4,14.5
Arkansas,AR,20.5,38.1,47062,17.2,34.5,23.8
California,CA,15.2,36.7,75277,12.8,24.2,11.4
Colorado,CO,15.3,36.9,71953,9.6,20.2,14.7
Connecticut,CT,18,41.1,76348,10.4,25.3,12.7
Delaware,DE,20.8,41.1,64805,12.5,29.7,17.4
District of Columbia,DC,13.3,33.9,85203,16.2,22.1,13.7
Florida,FL,22.1,42.2,55462,13.6,26.8,15.1
Georgia,GA,15.9,36.8,58756,14.3,30.7,16.5
Hawaii,HI,19.3,39.3,80212,8.8,22.7,14.2
Idaho,ID,18.1,36.8,55583,11.8,28.6,15.2
Illinois,IL,16.6,38.3,65030,12.1,30.8,15.9
Indiana,IN,17.6,37.8,55746,13.1,31.3,21.7
Iowa,IA,18.2,38.1,59955,11.2,32.1,17.4
Kansas,KS,17.4,37.1,58218,12,34.2,18
Kentucky,KY,19.7,39.1,50247,16.9,34.6,24.4
Louisiana,LA,18.1,37.3,47905,18.6,36.2,21.1
Maine,ME,23.1,45.1,55602,11.6,30,19.3
Maryland,MD,16.6,38.8,83242,9,28.9,12.7
Massachusetts,MA,17.4,39.5,79835,10,24.3,13.8
Michigan,MI,19.6,39.8,56697,14.1,31.2,20.2
Minnesota,MN,16.7,38.2,70315,9.6,26.1,15.7
Mississippi,MS,19.5,37.7,44717,19.7,35.6,21
Missouri,MO,19.4,38.8,54478,13.2,32.4,20.2
Montana,MT,20.7,40.1,55328,13,23.6,19
Nebraska,NE,16.8,36.7,59566,11,31.4,16.6
Nevada,NV,17.1,38.2,58646,12.9,26.7,15.9
New Hampshire,NH,19.8,43.1,74991,7.6,26.3,16.4
New Jersey,NJ,17,40,81740,9.5,25.6,13.4
New Mexico,NM,20,38.1,47169,19.5,28.8,15.6
New York,NY,17.8,39,67844,13.6,25,13
North Carolina,NC,18.6,38.9,53855,14,30.1,17.9
North Dakota,ND,16.3,35.4,63837,10.7,31,19.9
Ohio,OH,18.9,39.5,56111,13.9,29.8,21.4
Oklahoma,OK,18.2,36.7,51924,15.6,33.9,20
Oregon,OR,19.2,39.6,63426,12.6,30.1,16
Pennsylvania,PA,19.9,40.8,60905,12.2,30,17.8
Rhode Island,RI,19.1,40,64340,12.9,26,15.1
South Carolina,SC,20.4,39.7,52306,15.3,31.7,18.7
South Dakota,SD,17.9,37.2,56274,13.1,30.4,20.1
Tennessee,TN,18.9,38.9,52375,15.3,33.8,21
Texas,TX,13.7,34.9,60629,14.9,32.4,14.3
Utah,UT,11.9,31,71414,9,24.5,9.1
Vermont,VT,21.6,43.1,60782,11,25.1,14.6
Virginia,VA,17.2,38.3,72577,10.7,29.2,15.2
Washington,WA,17,37.7,74073,10.3,26.4,12.3
West Virginia,WV,23.9,42.8,44097,17.8,35.6,26.9
Wisconsin,WI,18.7,39.6,60773,11,30.7,17.1
Wyoming,WY,18,38.5,61584,11.1,29,19.3